# Nmap 7.94SVN scan initiated Tue Oct  7 20:31:31 2025 as: nmap -vv -oN /home/rojanels/Documentos/bash/wifi/informes/escaneo_rapido_wifi/escaneo_10.100.83.136_24_wifi.txt -oX /home/rojanels/Documentos/bash/wifi/informes/escaneo_rapido_wifi/XML/escaneo_10.100.83.136_24_wifi.xml 10.100.83.136/24
Nmap scan report for 10.100.83.0 [host down, received no-response]
Nmap scan report for 10.100.83.2 [host down, received no-response]
Nmap scan report for 10.100.83.3 [host down, received no-response]
Nmap scan report for 10.100.83.4 [host down, received no-response]
Nmap scan report for 10.100.83.5 [host down, received no-response]
Nmap scan report for 10.100.83.6 [host down, received no-response]
Nmap scan report for 10.100.83.7 [host down, received no-response]
Nmap scan report for 10.100.83.8 [host down, received no-response]
Nmap scan report for 10.100.83.9 [host down, received no-response]
Nmap scan report for 10.100.83.10 [host down, received no-response]
Nmap scan report for 10.100.83.11 [host down, received no-response]
Nmap scan report for 10.100.83.12 [host down, received no-response]
Nmap scan report for 10.100.83.13 [host down, received no-response]
Nmap scan report for 10.100.83.14 [host down, received no-response]
Nmap scan report for 10.100.83.15 [host down, received no-response]
Nmap scan report for 10.100.83.17 [host down, received no-response]
Nmap scan report for 10.100.83.20 [host down, received no-response]
Nmap scan report for 10.100.83.21 [host down, received no-response]
Nmap scan report for 10.100.83.22 [host down, received no-response]
Nmap scan report for 10.100.83.23 [host down, received no-response]
Nmap scan report for 10.100.83.24 [host down, received no-response]
Nmap scan report for 10.100.83.25 [host down, received no-response]
Nmap scan report for 10.100.83.28 [host down, received no-response]
Nmap scan report for 10.100.83.29 [host down, received no-response]
Nmap scan report for 10.100.83.30 [host down, received no-response]
Nmap scan report for 10.100.83.31 [host down, received no-response]
Nmap scan report for 10.100.83.32 [host down, received no-response]
Nmap scan report for 10.100.83.34 [host down, received no-response]
Nmap scan report for 10.100.83.35 [host down, received no-response]
Nmap scan report for 10.100.83.36 [host down, received no-response]
Nmap scan report for 10.100.83.37 [host down, received no-response]
Nmap scan report for 10.100.83.38 [host down, received no-response]
Nmap scan report for 10.100.83.40 [host down, received no-response]
Nmap scan report for 10.100.83.41 [host down, received no-response]
Nmap scan report for 10.100.83.43 [host down, received no-response]
Nmap scan report for 10.100.83.44 [host down, received no-response]
Nmap scan report for 10.100.83.45 [host down, received no-response]
Nmap scan report for 10.100.83.46 [host down, received no-response]
Nmap scan report for 10.100.83.47 [host down, received no-response]
Nmap scan report for 10.100.83.48 [host down, received no-response]
Nmap scan report for 10.100.83.49 [host down, received no-response]
Nmap scan report for 10.100.83.50 [host down, received no-response]
Nmap scan report for 10.100.83.51 [host down, received no-response]
Nmap scan report for 10.100.83.52 [host down, received no-response]
Nmap scan report for 10.100.83.54 [host down, received no-response]
Nmap scan report for 10.100.83.56 [host down, received no-response]
Nmap scan report for 10.100.83.57 [host down, received no-response]
Nmap scan report for 10.100.83.60 [host down, received no-response]
Nmap scan report for 10.100.83.61 [host down, received no-response]
Nmap scan report for 10.100.83.62 [host down, received no-response]
Nmap scan report for 10.100.83.64 [host down, received no-response]
Nmap scan report for 10.100.83.65 [host down, received no-response]
Nmap scan report for 10.100.83.66 [host down, received no-response]
